Date,Open,High,Low,Close,Adj Close,Volume
2004-03-01,36.680000,37.070000,36.470001,37.049999,32.104893,79700700
2004-03-02,36.980000,37.180000,36.610001,36.619999,31.732277,91536000
2004-03-03,36.509998,36.630001,36.209999,36.419998,31.558981,83938300
2004-03-04,36.439999,36.830002,36.389999,36.759998,31.853590,65905600
2004-03-05,36.419998,37.150002,36.360001,36.630001,31.740952,118107100
2004-03-08,36.689999,36.820000,35.730000,35.770000,30.995729,112599500
2004-03-09,35.810001,35.980000,35.520000,35.660000,30.900408,126140400
2004-03-10,35.750000,36.000000,35.130001,35.189999,30.493155,134226100
2004-03-11,35.070000,35.529999,34.799999,34.869999,30.215862,152132000
2004-03-12,35.180000,35.590000,35.150002,35.509998,30.770430,118369600
2004-03-15,35.360001,35.400002,34.810001,34.889999,30.233191,115813600
2004-03-16,35.110001,35.250000,34.630001,34.950001,30.285194,123265100
2004-03-17,35.209999,35.619999,35.180000,35.500000,30.761784,91684700
2004-03-18,35.369999,35.459999,34.970001,35.340000,30.623116,111249700
2004-03-19,35.279999,35.459999,34.720001,34.750000,30.111870,99976700
2004-03-22,34.529999,34.549999,34.029999,34.310001,29.730602,133870400
2004-03-23,34.590000,34.650002,34.009998,34.029999,29.487974,125945800
2004-03-24,34.150002,34.630001,34.009998,34.419998,29.825912,118876800
2004-03-25,34.650002,35.459999,34.619999,35.340000,30.623116,142122000
2004-03-26,35.299999,35.580002,35.200001,35.220001,30.519129,78430800
2004-03-29,35.509998,35.959999,35.490002,35.790001,31.013065,103864000
2004-03-30,35.669998,35.939999,35.520000,35.910000,31.117048,95716500
2004-03-31,35.919998,36.000000,35.610001,35.840000,31.056379,85993900
2004-04-01,35.810001,36.250000,35.779999,36.160000,31.333668,93048600
2004-04-02,36.889999,37.160000,36.520000,37.099998,32.148216,145964000
2004-04-05,37.009998,37.500000,36.970001,37.450001,32.451511,67351600
2004-04-06,37.160000,37.250000,36.919998,36.980000,32.044216,98611400
2004-04-07,36.990002,37.110001,36.660000,36.939999,32.009560,91004900
2004-04-08,37.349998,37.389999,36.740002,36.939999,32.009560,77176300
2004-04-12,37.020000,37.240002,36.980000,37.169998,32.208862,55285700
2004-04-13,37.340000,37.360001,36.459999,36.630001,31.740952,100624400
2004-04-14,36.410000,36.950001,36.360001,36.810001,31.896912,113663200
2004-04-15,36.750000,36.860001,36.020000,36.150002,31.325027,123565500
2004-04-16,36.200001,36.320000,35.790001,36.090000,31.273016,110736600
2004-04-19,36.009998,36.590000,35.980000,36.529999,31.654285,85838700
2004-04-20,36.610001,36.790001,35.639999,35.680000,30.917749,119545100
2004-04-21,35.900002,36.110001,35.650002,35.990002,31.186363,117850500
2004-04-22,36.000000,37.009998,35.980000,36.919998,31.992245,137623300
2004-04-23,37.080002,37.259998,36.900002,37.209999,32.243530,91855600
2004-04-26,37.180000,37.290001,36.650002,36.939999,32.009560,74392200
2004-04-27,36.950001,37.189999,36.689999,36.869999,31.948919,87548500
2004-04-28,36.709999,36.720001,36.020000,36.200001,31.368334,111740700
2004-04-29,36.090000,36.340000,35.299999,35.639999,30.883080,156917100
2004-04-30,35.660000,35.799999,34.720001,34.770000,30.129192,150829200
2004-05-03,35.000000,35.520000,34.889999,35.099998,30.415157,117007200
2004-05-04,35.209999,35.750000,35.029999,35.250000,30.545134,126176000
2004-05-05,35.419998,35.700001,35.200001,35.529999,30.787760,97528500
2004-05-06,35.230000,35.439999,34.849998,35.259998,30.553802,102733300
2004-05-07,35.090000,35.639999,34.910000,34.970001,30.302500,137686000
